stop_id,lat,lon
CentralCoast.Gosford 3 Loc,-33.42365264892578,151.34146118164062
CentralCoast.Gosford 2 Loc,-33.4236946105957,151.3416748046875
CentralCoast.Koolewong 1 Loc,-33.46625518798828,151.31851196289062
CentralCoast.GF51/36 Loc,-33.417354583740234,151.3427276611328
CentralCoast.GF63/52 Loc,-33.416053771972656,151.34254455566406
CentralCoast.N46.0 Loc,-33.473209381103516,151.3223419189453
CentralCoast.N45.4 Loc,-33.482521057128906,151.32412719726562
CentralCoast.GF67 Loc,-33.40353775024414,151.34764099121094
CentralCoast.Woy Woy 1 Loc,-33.485687255859375,151.3234405517578
CentralCoast.GF67BT Loc,-33.402099609375,151.34625244140625
CentralCoast.Narara 2 Loc,-33.3946647644043,151.3444366455078
CentralCoast.Niagara Park 2 Loc,-33.38336944580078,151.35418701171875
CentralCoast.N44.8 Loc,-33.48899841308594,151.31942749023438
CentralCoast.N54.1 Loc,-33.382720947265625,151.36289978027344
CentralCoast.N44.0 Loc,-33.497032165527344,151.3065948486328
CentralCoast.Lisarow 2 Loc,-33.38249969482422,151.36917114257812
CentralCoast.N43.4 Loc,-33.496849060058594,151.29489135742188
CentralCoast.N54.1DT Loc,-33.3723258972168,151.3766326904297
CentralCoast.N41.6 Loc,-33.486148834228516,151.2723846435547
CentralCoast.N55.9 Loc,-33.365333557128906,151.37408447265625
CentralCoast.GF39/34 Loc,-33.41994857788086,151.34243774414062
CentralCoast.Ourimbah 2 Loc,-33.359657287597656,151.3699493408203
CentralCoast.N41.5 Entry Loc,-33.48593521118164,151.27200317382812
CentralCoast.KN1 Loc,-33.351436614990234,151.37196350097656
CentralCoast.GF49/46 Loc,-33.41699981689453,151.3426055908203
CentralCoast.KN1BT Loc,-33.351436614990234,151.37196350097656
CentralCoast.N42.9 Loc,-33.495445251464844,151.2917938232422
CentralCoast.KN3 Loc,-33.343326568603516,151.38601684570312
CentralCoast.KN3BT Loc,-33.3414192199707,151.38760375976562
CentralCoast.N58.7 Loc,-33.336978912353516,151.39183044433594
CentralCoast.N43.9 Loc,-33.49707794189453,151.30621337890625
CentralCoast.N59.5 Loc,-33.32831573486328,151.40576171875
CentralCoast.N59.5BT Loc,-33.32831573486328,151.40576171875
CentralCoast.N44.7 Loc,-33.489219665527344,151.319091796875
CentralCoast.N60.5 Loc,-33.318199157714844,151.41659545898438
CentralCoast.N61.23 Loc,-33.308868408203125,151.41993713378906
CentralCoast.GF41 Loc,-33.41946792602539,151.34246826171875
CentralCoast.Woy Woy 2 Loc,-33.485687255859375,151.3234405517578
CentralCoast.Tuggerah 2 Loc,-33.30778503417969,151.42018127441406
CentralCoast.GF35 Loc,-33.42117691040039,151.34201049804688
CentralCoast.WG1 Loc,-33.30027770996094,151.42185974121094
CentralCoast.N61.80 Loc,-33.29927444458008,151.422119140625
CentralCoast.N46.1 Loc,-33.47161102294922,151.3203582763672
CentralCoast.N61.46 Loc,-33.3049201965332,151.4208221435547
CentralCoast.Tuggerah 1 Loc,-33.30779266357422,151.42022705078125
CentralCoast.Koolewong 2 Loc,-33.46625518798828,151.31851196289062
CentralCoast.N47.3 Loc,-33.45714569091797,151.31434631347656
CentralCoast.N60.8 Loc,-33.31436538696289,151.4187469482422
CentralCoast.N59.6 Loc,-33.32601547241211,151.4082794189453
CentralCoast.Tascott 2 Loc,-33.4512825012207,151.31800842285156
CentralCoast.KN16 Loc,-33.33287811279297,151.39871215820312
CentralCoast.KN6 Loc,-33.340335845947266,151.38853454589844
CentralCoast.KN5 Loc,-33.34175109863281,151.38739013671875
CentralCoast.Point Clare 2 Loc,-33.44606018066406,151.3286590576172
CentralCoast.N57.2 Loc,-33.348236083984375,151.3770751953125
CentralCoast.N57.2CT Loc,-33.349369049072266,151.37457275390625
CentralCoast.Ourimbah 1 Loc,-33.35966491699219,151.3699951171875
CentralCoast.N56.2CT Loc,-33.37331008911133,151.37657165527344
CentralCoast.GF1 Loc,-33.43128204345703,151.3343963623047
CentralCoast.N54.6 Loc,-33.38139343261719,151.37118530273438
CentralCoast.Lisarow 1 Loc,-33.382354736328125,151.3697509765625
CentralCoast.N54.6CT Loc,-33.38273239135742,151.36276245117188
CentralCoast.GF9 Loc,-33.43128204345703,151.3343963623047
CentralCoast.Niagara Park 1 Loc,-33.38340759277344,151.35430908203125
CentralCoast.DMFixedRed Loc,-33.42667007446289,151.33876037597656
CentralCoast.GF19 Loc,-33.424949645996094,151.34127807617188
CentralCoast.GF70 Loc,-33.393157958984375,151.34661865234375
CentralCoast.Narara 1 Loc,-33.39482116699219,151.3442840576172
CentralCoast.GF68 Loc,-33.401737213134766,151.345947265625
CentralCoast.GF58 Loc,-33.41041946411133,151.34642028808594
CentralCoast.GF54 Loc,-33.41513442993164,151.34266662597656
CentralCoast.GF48 Loc,-33.41890335083008,151.34274291992188
CentralCoast.GF28/29 Loc,-33.422767639160156,151.34190368652344
CentralCoast.Gosford 1 Loc,-33.423770904541016,151.34169006347656
CentralCoast.GF21 Loc,-33.424861907958984,151.34136962890625
CentralCoast.N49.2 Loc,-33.42961502075195,151.33538818359375
CentralCoast.N49.2BT Loc,-33.43842315673828,151.330810546875
CentralCoast.N48.6 Loc,-33.44304275512695,151.3293914794922
CentralCoast.Point Clare 1 Loc,-33.44606018066406,151.3286590576172
CentralCoast.N48.0 Loc,-33.45005416870117,151.3209686279297
CentralCoast.Tascott 1 Loc,-33.4512825012207,151.31800842285156
CentralCoast.N47.2 Loc,-33.45917510986328,151.3131866455078
CentralCoast.GF15 Loc,-33.42595291137695,151.3401336669922
CentralCoast.GF14 Loc,-33.426246643066406,151.3396453857422
CentralCoast.GF10 Loc,-33.426788330078125,151.33871459960938
CentralCoast.GF11 Loc,-33.426788330078125,151.33871459960938
CentralCoast.GFCarSdg2Dec Loc,-33.42762756347656,151.3372802734375
CentralCoast.GFCarSdg2Buf Loc,-33.42856979370117,151.33628845214844
CentralCoast.GF17 Loc,-33.425048828125,151.34107971191406
CentralCoast.GFCarSdg3Dec Loc,-33.42753601074219,151.33749389648438
CentralCoast.GFCarSdg3Buf Loc,-33.42859649658203,151.33631896972656
CentralCoast.GFCarSdg1Dec Loc,-33.427452087402344,151.3374786376953
CentralCoast.GFCarSdg1Buf Loc,-33.42853546142578,151.33627319335938
CentralCoast.GF24 Loc,-33.4225959777832,151.3418426513672
CentralCoast.GF60 Loc,-33.41044616699219,151.34649658203125
CentralCoast.GF56 Loc,-33.41514205932617,151.34274291992188
CentralCoast.GF44 Loc,-33.418983459472656,151.34275817871094
CentralCoast.GF37 Loc,-33.421142578125,151.34210205078125
CentralCoast.GF61 Loc,-33.40989303588867,151.3468475341797
CentralCoast.GF65 Loc,-33.40357971191406,151.34759521484375
CentralCoast.GF33 Loc,-33.4212532043457,151.34193420410156
CentralCoast.GF13 Loc,-33.425865173339844,151.34019470214844
CentralCoast.KY201 Loc,-33.33973693847656,151.3888397216797
CentralCoast.KA Arrival Rd Exit Loc,-33.337493896484375,151.39097595214844
CentralCoast.KN8 Entry Loc,-33.33931350708008,151.3892364501953
CentralCoast.GF26 Loc,-33.42259216308594,151.34190368652344
CentralCoast.KN8 Exit Loc,-33.33931350708008,151.3892364501953
CentralCoast.GF12 Entry Loc,-33.426387786865234,151.33949279785156
CentralCoast.GF Nth Perway Sdg Entry Loc,-33.421875,151.34214782714844
CentralCoast.KA Wash Rd Exit Loc,-33.33745193481445,151.3909149169922
CentralCoast.N62.62/WG5 Loc,-33.28984069824219,151.42440795898438
CentralCoast.N66.8CT Loc,-33.24259567260742,151.45643615722656
CentralCoast.WG9 Loc,-33.287513732910156,151.42478942871094
CentralCoast.Wyong 2 Loc,-33.285682678222656,151.42518615722656
CentralCoast.WG20/27 Loc,-33.28184509277344,151.42662048339844
CentralCoast.WG30/SLUM Loc,-33.270294189453125,151.43194580078125
CentralCoast.Wyong 1 Loc,-33.28570556640625,151.42535400390625
CentralCoast.WG28 Loc,-33.270294189453125,151.43191528320312
CentralCoast.N66.9 Loc,-33.235477447509766,151.4616241455078
CentralCoast.N64.3 Loc,-33.26377868652344,151.43496704101562
CentralCoast.N64.3BT Loc,-33.26264572143555,151.43553161621094
