stop_id,lat,lon
Blacktown.BN102 Entry Loc,-33.76533126831055,150.88934326171875
Blacktown.ME1 Loc,-33.63317108154297,150.8379364013672
Blacktown.Blacktown 2 Loc,-33.76889419555664,150.90916442871094
Blacktown.BN1 Entry Loc,-33.77426528930664,150.93576049804688
Blacktown.Blacktown 6 Loc,-33.768585205078125,150.90716552734375
Blacktown.Blacktown 1 Loc,-33.768882751464844,150.90914916992188
Blacktown.S21.0 Loc,-33.773887634277344,150.919921875
Blacktown.BN31 Loc,-33.7701416015625,150.9124755859375
Blacktown.Richmond 2 Loc,-33.59897994995117,150.752685546875
Blacktown.BN194/SS3 Loc,-33.71878433227539,150.87997436523438
Blacktown.BN190/R40.7UR Loc,-33.72557067871094,150.88475036621094
Blacktown.BN94 Loc,-33.766448974609375,150.8958282470703
Blacktown.BN20 Loc,-33.773963928222656,150.93096923828125
Blacktown.ME3 Loc,-33.62868118286133,150.83432006835938
Blacktown.BN141/122 Loc,-33.75786209106445,150.904296875
Blacktown.BN31AT Loc,-33.77061462402344,150.91351318359375
Blacktown.BN14 Loc,-33.77426528930664,150.93576049804688
Blacktown.Seven Hills 4 Loc,-33.77449417114258,150.93609619140625
Blacktown.Quakers Hill 1 Loc,-33.72803497314453,150.8866729736328
Blacktown.BN82 Loc,-33.767356872558594,150.9013214111328
Blacktown.Mulgrave 2 Loc,-33.6266975402832,150.83045959472656
Blacktown.Seven Hills 2 Loc,-33.77433395385742,150.93614196777344
Blacktown.BN49 Loc,-33.7701416015625,150.9124755859375
Blacktown.Blacktown 5 Loc,-33.768882751464844,150.90916442871094
Blacktown.BN55/48 Loc,-33.76966857910156,150.91163635253906
Blacktown.BN151/144 Loc,-33.751686096191406,150.9019317626953
Blacktown.BN178/181 Loc,-33.73632049560547,150.8953399658203
Blacktown.Marayong 2 Loc,-33.746517181396484,150.90011596679688
Blacktown.R20.7 Loc,-33.773887634277344,150.919921875
Blacktown.ME10 Loc,-33.6261100769043,150.826416015625
Blacktown.RD4/5 Loc,-33.600345611572266,150.75552368164062
