stop_id,lat,lon
Hornsby.HY76 Loc,-33.69926834106445,151.09951782226562
Hornsby.HBY Car Sdgs Exit Loc,-33.6926383972168,151.10496520996094
Hornsby.N37.7 Loc,-33.51792526245117,151.23199462890625
Hornsby.B1 Loc,-33.63396072387695,151.14768981933594
Hornsby.C24/HR103 Loc,-33.58588409423828,151.17552185058594
Hornsby.HY136 Loc,-33.6805305480957,151.1118621826172
Hornsby.N24.51 Loc,-33.66067886352539,151.1279296875
Hornsby.Asquith 2 Loc,-33.688533782958984,151.108154296875
Hornsby.Berowra 2 Loc,-33.62361145019531,151.1526336669922
Hornsby.Normanhurst 2 Loc,-33.72112274169922,151.0963134765625
Hornsby.HY54 Loc,-33.6926383972168,151.10496520996094
Hornsby.HY82/105 Loc,-33.69911575317383,151.09970092773438
Hornsby.HY31 Loc,-33.707393646240234,151.1009521484375
Hornsby.HY17 Loc,-33.714385986328125,151.09951782226562
Hornsby.N38.5 Loc,-33.506954193115234,151.23153686523438
Hornsby.B3 Loc,-33.62709045410156,151.1488800048828
Hornsby.HY78 Loc,-33.69948959350586,151.09950256347656
Hornsby.HY35 Loc,-33.70528030395508,151.09852600097656
Hornsby.Cowan 1 Loc,-33.593536376953125,151.17184448242188
Hornsby.Asquith 1 Loc,-33.688533782958984,151.108154296875
Hornsby.HY21 Loc,-33.70862579345703,151.09707641601562
Hornsby.HY68/61 Loc,-33.701171875,151.0990447998047
Hornsby.N25.21 Loc,-33.6539421081543,151.13670349121094
Hornsby.N19.45 Loc,-33.721981048583984,151.0927276611328
Hornsby.Berowra 3 Loc,-33.62361145019531,151.1526336669922
Hornsby.HY62 Loc,-33.70180130004883,151.09886169433594
Hornsby.HY25 Loc,-33.70661544799805,151.097412109375
Hornsby.Hornsby 1 Loc,-33.70319747924805,151.0982666015625
Hornsby.HY43 Loc,-33.704345703125,151.0982666015625
Hornsby.Hornsby 2 Loc,-33.70317077636719,151.0982666015625
Hornsby.N39.5 Loc,-33.498619079589844,151.2416229248047
Hornsby.C6/15 Loc,-33.59824752807617,151.1692657470703
Hornsby.N22.97 Loc,-33.67945861816406,151.1121063232422
Hornsby.Hornsby 4 Loc,-33.70317077636719,151.0982666015625
Hornsby.N28.5 Loc,-33.61379623413086,151.1600341796875
Hornsby.Mt Kuring Gai 2 Loc,-33.6535530090332,151.13661193847656
Hornsby.N25.51 Loc,-33.647335052490234,151.13710021972656
Hornsby.C2 Loc,-33.60486602783203,151.16378784179688
Hornsby.HY132 Loc,-33.692527770996094,151.10394287109375
Hornsby.N26.31 Loc,-33.64234924316406,151.1412353515625
Hornsby.Mt Colah 2 Loc,-33.67151641845703,151.11508178710938
Hornsby.N40.3 Loc,-33.493865966796875,151.25328063964844
Hornsby.HY19 Loc,-33.7086181640625,151.09701538085938
Hornsby.C7 Loc,-33.60026931762695,151.16506958007812
Hornsby.HY106/129 Loc,-33.6956787109375,151.1007843017578
Hornsby.N28.6 Loc,-33.613677978515625,151.1600799560547
Hornsby.HY74/103 Loc,-33.69926071166992,151.09945678710938
Hornsby.HY23 Loc,-33.706600189208984,151.09735107421875
Hornsby.SH15.46/HY45 Loc,-33.70701599121094,151.1005401611328
Hornsby.Hornsby 5 Loc,-33.703189849853516,151.0982666015625
Hornsby.HY58 Loc,-33.70103073120117,151.09898376464844
Hornsby.Hornsby 3 Loc,-33.70319747924805,151.0982666015625
Hornsby.SH15.36 Loc,-33.70707321166992,151.10060119628906
Hornsby.Wondabyne 2 Loc,-33.49211120605469,151.25697326660156
Hornsby.C17 Loc,-33.59547424316406,151.17184448242188
Hornsby.B12 Loc,-33.61967086791992,151.1578826904297
Hornsby.N20.70/HY27 Loc,-33.7077522277832,151.09718322753906
Hornsby.N20.02 Loc,-33.71712112426758,151.09979248046875
Hornsby.N40.9 Loc,-33.48713302612305,151.2616729736328
Hornsby.Berowra 1 Loc,-33.62361145019531,151.1526336669922
Hornsby.Cowan 2 Loc,-33.593536376953125,151.17184448242188
Hornsby.HY63 Loc,-33.69960021972656,151.09942626953125
Hornsby.N27.20/B5 Loc,-33.63130569458008,151.1488800048828
Hornsby.HY85/60 Loc,-33.698734283447266,151.0994110107422
Hornsby.HR101/C22 Loc,-33.58366775512695,151.17713928222656
Hornsby.Normanhurst 1 Loc,-33.72112274169922,151.0963134765625
Hornsby.HY87/94 Loc,-33.69768524169922,151.09974670410156
Hornsby.N26.60 Loc,-33.637943267822266,151.1453094482422
Hornsby.HY135/124 Loc,-33.69331359863281,151.1029052734375
Hornsby.N41.3 Loc,-33.48459243774414,151.26522827148438
Hornsby.HR107/104 Loc,-33.57862091064453,151.18772888183594
Hornsby.N25.60 Loc,-33.647216796875,151.1370849609375
Hornsby.HR113/110 Loc,-33.569419860839844,151.193603515625
Hornsby.N41.2 Entry Loc,-33.48480224609375,151.2643585205078
Hornsby.Mt Kuring Gai 1 Loc,-33.6535530090332,151.13661193847656
Hornsby.N24.66 Loc,-33.66115188598633,151.127197265625
Hornsby.Wondabyne 1 Loc,-33.49211120605469,151.25697326660156
Hornsby.HR121/116 Loc,-33.55958557128906,151.1968231201172
Hornsby.N24.04 Loc,-33.66688537597656,151.1211700439453
Hornsby.N39.8 Loc,-33.494728088378906,151.2484588623047
Hornsby.Mt Colah 1 Loc,-33.67151641845703,151.11508178710938
Hornsby.HR127/124 Loc,-33.55178451538086,151.20245361328125
Hornsby.N39.2 Loc,-33.502803802490234,151.2404022216797
Hornsby.HR137/134 Loc,-33.55058288574219,151.20916748046875
Hornsby.N38.4 Loc,-33.506935119628906,151.2316131591797
Hornsby.HR170 Loc,-33.521671295166016,151.23133850097656
Hornsby.Hawkesbury R 2 Loc,-33.547149658203125,151.22634887695312
Hornsby.HR168 Loc,-33.53759002685547,151.22894287109375
Hornsby.N36.9/HR164 Loc,-33.529998779296875,151.22824096679688
Hornsby.HY93/72 Loc,-33.69831085205078,151.09962463378906
Hornsby.HR160 Loc,-33.54281234741211,151.22909545898438
Hornsby.HY101/98 Loc,-33.69634246826172,151.100341796875
Hornsby.Hawkesbury R 1 Loc,-33.547149658203125,151.22634887695312
Hornsby.HY131 Loc,-33.69367218017578,151.10260009765625
Hornsby.HR142/145 Loc,-33.54766845703125,151.22433471679688
Hornsby.HR136/139 Loc,-33.55061340332031,151.2091827392578
Hornsby.HR126/129 Loc,-33.55813217163086,151.1976776123047
Hornsby.HR118/123 Loc,-33.56943130493164,151.1936492919922
Hornsby.HY99/96 Loc,-33.69615173339844,151.1003875732422
Hornsby.HR112/115 Loc,-33.57722854614258,151.190673828125
