stop_id,lat,lon,notes
Sutherland.W1 Exit Loc,-34.10327911376953,150.9947052001953,Renamed WL3 on Waterfall signal box decommissioning Jul 2024
Sutherland.W79 Loc,-34.10327911376953,150.9946746826172,Renamed WL1 on Waterfall signal box decommissioning Jul 2024
Sutherland.SW22.6 Entry Loc,-34.1129264831543,150.99366760253906,Combined on Waterfall signal box decommissioning Jul 2024
Sutherland.Perway Siding Exit Loc,-34.03704071044922,151.05331420898438,Renamed SD50 on Waterfall signal box decommissioning Jul 2024
Sutherland.Perway Siding Entry Loc,-34.03704071044922,151.05331420898438,Renamed SD50 on Waterfall signal box decommissioning Jul 2024
