stop_id,lat,lon,notes
Lidcombe.M12.44 Entry Loc,-33.84004211425781,151.0231475830078,Entry dropped on Granville signal box decommissioning March 2023
Lidcombe.AN28/35 Loc,-33.85091781616211,151.03424072265625,Split on Granville signal box decommissioning March 2023
Lidcombe.AN26/33 Loc,-33.85091018676758,151.03416442871094,Split on Granville signal box decommissioning March 2023
Lidcombe.AN96 Entry Loc,-33.842960357666016,151.02615356445312,Entry dropped on Granville signal box decommissioning March 2023
