stop_id,lat,lon,notes
Liverpool.Merrylands 2 Loc,-33.8365478515625,150.99258422851562,Moved to Lidcombe on Granville signal box decommissioning March 2023
Liverpool.S15.1 Loc,-33.843055725097656,150.99124145507812,Entry added on Granville signal box decommissioning March 2023
Liverpool.GE310 Exit Loc,-33.845794677734375,150.99037170410156,Moved to Lidcombe/Entry added on Granville signal box decommissioning March 2023
Liverpool.S17.9 Loc,-33.87034606933594,150.960693359375,Renamed FD5 on Fairfield ATRICS control June 2023
Liverpool.S18.8 Loc,-33.88068389892578,150.94931030273438,Renamed FD10 on Fairfield ATRICS control June 2023
Liverpool.S18.2 Loc,-33.874629974365234,150.95455932617188,Renamed FD8 on Fairfield ATRICS control June 2023
